timestamp,sample_id,mode,mode_value,requested_position,actual_a,actual_b,actual_c,actual_scissor,status_connected,status_activated,status_fault,status_motion,notes,robotiq_3f_finger_a_proximal_joint_rad,robotiq_3f_finger_a_middle_joint_rad,robotiq_3f_finger_a_distal_joint_rad,robotiq_3f_finger_b_scissor_joint_rad,robotiq_3f_finger_b_proximal_joint_rad,robotiq_3f_finger_b_middle_joint_rad,robotiq_3f_finger_b_distal_joint_rad,robotiq_3f_finger_c_scissor_joint_rad,robotiq_3f_finger_c_proximal_joint_rad,robotiq_3f_finger_c_middle_joint_rad,robotiq_3f_finger_c_distal_joint_rad,robotiq_3f_finger_a_middle_joint_pivot_x_joint_m,robotiq_3f_finger_a_middle_joint_pivot_y_joint_m,robotiq_3f_finger_a_middle_joint_pivot_z_joint_m,robotiq_3f_finger_b_middle_joint_pivot_x_joint_m,robotiq_3f_finger_b_middle_joint_pivot_y_joint_m,robotiq_3f_finger_b_middle_joint_pivot_z_joint_m,robotiq_3f_finger_c_middle_joint_pivot_x_joint_m,robotiq_3f_finger_c_middle_joint_pivot_y_joint_m,robotiq_3f_finger_c_middle_joint_pivot_z_joint_m,robotiq_3f_finger_a_middle_joint_pivot_x_joint_mm,robotiq_3f_finger_a_middle_joint_pivot_y_joint_mm,robotiq_3f_finger_a_middle_joint_pivot_z_joint_mm,robotiq_3f_finger_b_middle_joint_pivot_x_joint_mm,robotiq_3f_finger_b_middle_joint_pivot_y_joint_mm,robotiq_3f_finger_b_middle_joint_pivot_z_joint_mm,robotiq_3f_finger_c_middle_joint_pivot_x_joint_mm,robotiq_3f_finger_c_middle_joint_pivot_y_joint_mm,robotiq_3f_finger_c_middle_joint_pivot_z_joint_mm,finger_a_middle_pivot_candidate_x_m,finger_a_middle_pivot_candidate_y_m,finger_a_middle_pivot_candidate_z_m,finger_a_middle_pivot_candidate_x_mm,finger_a_middle_pivot_candidate_y_mm,finger_a_middle_pivot_candidate_z_mm,finger_b_middle_pivot_candidate_x_m,finger_b_middle_pivot_candidate_y_m,finger_b_middle_pivot_candidate_z_m,finger_b_middle_pivot_candidate_x_mm,finger_b_middle_pivot_candidate_y_mm,finger_b_middle_pivot_candidate_z_mm,finger_c_middle_pivot_candidate_x_m,finger_c_middle_pivot_candidate_y_m,finger_c_middle_pivot_candidate_z_m,finger_c_middle_pivot_candidate_x_mm,finger_c_middle_pivot_candidate_y_mm,finger_c_middle_pivot_candidate_z_mm,measurement_label,measurement_frame,point_a_x_m,point_a_y_m,point_a_z_m,point_b_x_m,point_b_y_m,point_b_z_m,delta_x_m,delta_y_m,delta_z_m,delta_x_mm,delta_y_mm,delta_z_mm,distance_m,distance_mm,real_distance_mm
2026-09-04T09:30:46.151356+00:00,basic_p0,Basic,0,0,6,6,6,137,True,True,0,3,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.011620000,0.000000000,0.000000000,0.011620000,0.000000000,0.000000000,0.011620000,0.000000000,0.000000000,11.620,0.000,0.000,11.620,0.000,0.000,11.620,0.000,0.000,-0.058187455,-0.001425852,0.008050000,-58.187,-1.426,8.050,-0.058189366,-0.001328983,0.008040000,-58.189,-1.329,8.040,-0.058953474,-0.001246893,0.008050000,-58.953,-1.247,8.050,,world,0.0772700160741806,0.198818638920784,0.15119323134422302,-0.07933691889047623,0.19103221595287323,0.11292339861392975,-0.15660693496465683,-0.007786422967910767,-0.038269832730293274,-156.60693496465683,-7.786422967910767,-38.269832730293274,0.16140303763828018,161.40303763828018,0.0
2026-09-04T09:38:39.685751+00:00,basic_p32,Basic,0,32,32,32,32,137,True,True,0,3,,0.209439510,0.000000000,-0.279252680,0.000000000,0.209439510,0.000000000,-0.279252680,0.000000000,0.209439510,0.000000000,-0.279252680,0.011620000,0.000000000,0.000000000,0.011620000,0.000000000,0.000000000,0.011620000,0.000000000,0.000000000,11.620,0.000,0.000,11.620,0.000,0.000,11.620,0.000,0.000,-0.058187455,-0.001425852,0.008050000,-58.187,-1.426,8.050,-0.058189366,-0.001328983,0.008040000,-58.189,-1.329,8.040,-0.058953474,-0.001246893,0.008050000,-58.953,-1.247,8.050,,world,0.04547526314854622,0.11776158958673477,0.16464020311832428,-0.04396648332476616,0.11665750294923782,0.12226632237434387,-0.08944174647331238,-0.0011040866374969482,-0.04237388074398041,-89.44174647331238,-1.1040866374969482,-42.37388074398041,0.0989777287514947,98.9777287514947,0.0
2026-09-04T09:46:43.569808+00:00,basic_p60,Basic,0,60,60,60,60,137,True,True,0,3,,0.488692191,0.000000000,-0.514872129,0.000000000,0.488692191,0.000000000,-0.514872129,0.000000000,0.488692191,0.000000000,-0.514872129,0.011620000,0.000000000,0.000000000,0.011620000,0.000000000,0.000000000,0.011620000,0.000000000,0.000000000,11.620,0.000,0.000,11.620,0.000,0.000,11.620,0.000,0.000,-0.058187455,-0.001425852,0.008050000,-58.187,-1.426,8.050,-0.058189366,-0.001328983,0.008040000,-58.189,-1.329,8.040,-0.058953474,-0.001246893,0.008050000,-58.953,-1.247,8.050,,world,0.03574638068675995,0.11697728931903839,0.14746908843517303,-0.03633623570203781,0.1155218556523323,0.11170485615730286,-0.07208261638879776,-0.0014554336667060852,-0.03576423227787018,-72.08261638879776,-1.4554336667060852,-35.76423227787018,0.08048044596694409,80.48044596694409,0.0
2026-09-04T09:49:00.931006+00:00,basic_p96,Basic,0,96,96,96,96,137,True,True,0,3,,0.785398163,0.000000000,-0.785398163,0.000000000,0.785398163,0.000000000,-0.785398163,0.000000000,0.785398163,0.000000000,-0.785398163,0.011620000,0.000000000,0.000000000,0.011620000,0.000000000,0.000000000,0.011620000,0.000000000,0.000000000,11.620,0.000,0.000,11.620,0.000,0.000,11.620,0.000,0.000,-0.058187455,-0.001425852,0.008050000,-58.187,-1.426,8.050,-0.058189366,-0.001328983,0.008040000,-58.189,-1.329,8.040,-0.058953474,-0.001246893,0.008050000,-58.953,-1.247,8.050,,world,0.005435748025774956,0.20018433034420013,0.14304769039154053,-0.005389545112848282,0.1998450756072998,0.10810504853725433,-0.010825293138623238,-0.0003392547369003296,-0.034942641854286194,-10.825293138623238,-0.3392547369003296,-34.942641854286194,0.036582650055327404,36.582650055327406,0.0
2026-09-04T09:57:31.730775+00:00,basic_p128,Basic,0,128,128,128,128,137,True,True,0,3,,1.077740813,0.000000000,-1.077740813,0.000000000,1.077740813,0.000000000,-1.077740813,0.000000000,1.077740813,0.000000000,-1.077740813,0.011620000,0.000000000,0.000000000,0.011620000,0.000000000,0.000000000,0.011620000,0.000000000,0.000000000,11.620,0.000,0.000,11.620,0.000,0.000,11.620,0.000,0.000,-0.058187455,-0.001425852,0.008050000,-58.187,-1.426,8.050,-0.058189366,-0.001328983,0.008040000,-58.189,-1.329,8.040,-0.058953474,-0.001246893,0.008050000,-58.953,-1.247,8.050,,world,0.0212201289832592,0.19473108649253845,0.1865542232990265,-0.01887514814734459,0.19241108000278473,0.1487332433462143,-0.04009527713060379,-0.002320006489753723,-0.037820979952812195,-40.09527713060379,-2.320006489753723,-37.820979952812195,0.055167383505867314,55.16738350586731,0.0
2026-09-04T11:28:03.337133+00:00,basic_p148,Basic,0,148,148,148,148,137,True,True,0,3,,1.077740813,0.087266463,-0.689405055,0.000000000,1.077740813,0.087266463,-0.689405055,0.000000000,1.077740813,0.087266463,-0.689405055,0.011620000,0.000000000,0.000000000,0.011620000,0.000000000,0.000000000,0.011620000,0.000000000,0.000000000,11.620,0.000,0.000,11.620,0.000,0.000,11.620,0.000,0.000,-0.058187455,-0.001425852,0.008050000,-58.187,-1.426,8.050,-0.058189366,-0.001328983,0.008040000,-58.189,-1.329,8.040,-0.058953474,-0.001246893,0.008050000,-58.953,-1.247,8.050,,world,-0.036638930439949036,0.18647290766239166,0.15091286599636078,0.036610692739486694,0.18729841709136963,0.11347509920597076,0.07324962317943573,0.0008255094289779663,-0.037437766790390015,73.24962317943573,0.8255094289779663,-37.437766790390015,0.08226648858434575,82.26648858434575,0.0
2026-09-04T11:33:46.062999+00:00,basic_p164,Basic,0,164,164,164,164,137,True,True,0,3,,1.077740813,0.436332313,-0.689405055,0.000000000,1.077740813,0.436332313,-0.689405055,0.000000000,1.077740813,0.436332313,-0.689405055,0.011620000,0.000000000,0.000000000,0.011620000,0.000000000,0.000000000,0.011620000,0.000000000,0.000000000,11.620,0.000,0.000,11.620,0.000,0.000,11.620,0.000,0.000,-0.058187455,-0.001425852,0.008050000,-58.187,-1.426,8.050,-0.058189366,-0.001328983,0.008040000,-58.189,-1.329,8.040,-0.058953474,-0.001246893,0.008050000,-58.953,-1.247,8.050,,world,-0.05274154245853424,0.16700789332389832,0.15000849962234497,0.0529031902551651,0.1686965376138687,0.1134658083319664,0.10564473271369934,0.001688644289970398,-0.03654269129037857,105.64473271369934,1.688644289970398,-36.54269129037857,0.11179905794071314,111.79905794071314,0.0
2026-09-04T11:36:05.030574+00:00,basic_p192,Basic,0,192,192,192,192,137,True,True,0,3,,1.077740813,0.933751150,-0.689405055,0.000000000,1.077740813,0.933751150,-0.689405055,0.000000000,1.077740813,0.933751150,-0.689405055,0.011620000,0.000000000,0.000000000,0.011620000,0.000000000,0.000000000,0.011620000,0.000000000,0.000000000,11.620,0.000,0.000,11.620,0.000,0.000,11.620,0.000,0.000,-0.058187455,-0.001425852,0.008050000,-58.187,-1.426,8.050,-0.058189366,-0.001328983,0.008040000,-58.189,-1.329,8.040,-0.058953474,-0.001246893,0.008050000,-58.953,-1.247,8.050,,world,-0.05274154245853424,0.16700789332389832,0.15000849962234497,0.0529031902551651,0.1686965376138687,0.1134658083319664,0.10564473271369934,0.001688644289970398,-0.03654269129037857,105.64473271369934,1.688644289970398,-36.54269129037857,0.11179905794071314,111.79905794071314,0.0
2026-09-04T11:37:35.752721+00:00,basic_p225,Basic,0,225,225,225,225,137,True,True,0,3,,1.077740813,1.308996939,-0.689405055,0.000000000,1.077740813,1.308996939,-0.689405055,0.000000000,1.077740813,1.308996939,-0.689405055,0.011620000,0.000000000,0.000000000,0.011620000,0.000000000,0.000000000,0.011620000,0.000000000,0.000000000,11.620,0.000,0.000,11.620,0.000,0.000,11.620,0.000,0.000,-0.058187455,-0.001425852,0.008050000,-58.187,-1.426,8.050,-0.058189366,-0.001328983,0.008040000,-58.189,-1.329,8.040,-0.058953474,-0.001246893,0.008050000,-58.953,-1.247,8.050,,world,0.01365200337022543,0.11441412568092346,0.09764502197504044,-0.027562346309423447,0.09472431242465973,0.10042095929384232,-0.041214349679648876,-0.019689813256263733,0.00277593731880188,-41.214349679648876,-19.689813256263733,2.77593731880188,0.04576043262012314,45.76043262012314,0.0
2026-09-04T11:39:27.893855+00:00,basic_p250,Basic,0,250,240,240,240,137,True,True,0,3,,1.077740813,1.509709803,-0.689405055,0.000000000,1.077740813,1.509709803,-0.689405055,0.000000000,1.077740813,1.509709803,-0.689405055,0.011620000,0.000000000,0.000000000,0.011620000,0.000000000,0.000000000,0.011620000,0.000000000,0.000000000,11.620,0.000,0.000,11.620,0.000,0.000,11.620,0.000,0.000,-0.058187455,-0.001425852,0.008050000,-58.187,-1.426,8.050,-0.058189366,-0.001328983,0.008040000,-58.189,-1.329,8.040,-0.058953474,-0.001246893,0.008050000,-58.953,-1.247,8.050,,world,0.01365200337022543,0.11441412568092346,0.09764502197504044,-0.027562346309423447,0.09472431242465973,0.10042095929384232,-0.041214349679648876,-0.019689813256263733,0.00277593731880188,-41.214349679648876,-19.689813256263733,2.77593731880188,0.04576043262012314,45.76043262012314,0.0
